student_id,first_name,last_name,birthdate,gender,grade
143,Deborah,Johnston,12/22/2009,F,1
298,Adam,Hicks,12/19/2009,M,1
276,Brian,Frederick,12/15/2009,M,1
136,John,Erickson,12/5/2009,M,1
6,Michael,Wang,11/21/2009,M,1
267,Lisa,Mason,11/19/2009,F,1
222,Kerry,Obrien,10/18/2009,M,1
296,Juan,Clarke,10/18/2009,M,1
9,Jennifer,Mcdonald,10/7/2009,F,1
10,Allen,Mcdonald,10/7/2009,M,1
458,Joseph,Griffith,9/10/2009,M,1
244,Timothy,Huerta,9/7/2009,M,1
318,Marc,Dominguez,8/20/2009,M,1
173,Kaitlyn,Hubbard,8/17/2009,F,1
241,Jennifer,Delarosa,8/11/2009,F,1
386,Edward,Esparza,7/23/2009,M,1
29,Sarah,Monroe,7/15/2009,F,1
220,Edward,Farmer,7/5/2009,M,1
14,Cristian,Murillo,6/26/2009,M,1
73,Sherri,Barrera,6/12/2009,F,1
427,Mary,Cannon,6/10/2009,F,1
461,Angela,Mahoney,5/25/2009,F,1
58,Nicholas,Schwartz,5/7/2009,M,1
457,Pamela,Greene,4/10/2009,F,1
281,Michelle,Navarro,3/5/2009,F,1
369,April,Gallagher,2/16/2009,F,1
34,William,Beasley,2/14/2009,M,1
431,Ashley,Frank,1/28/2009,F,1
19,Rhonda,Christensen,12/26/2008,F,2
109,Jody,Malone,12/25/2008,F,2
315,Penny,Velazquez,12/25/2008,F,2
251,Emily,Meyer,12/23/2008,F,2
411,Sabrina,Holmes,12/15/2008,F,2
60,James,Patel,12/14/2008,M,2
476,Taylor,Abbott,12/11/2008,M,2
277,Ashley,Frederick,12/6/2008,F,2
338,Robert,Crane,12/4/2008,M,2
90,Anthony,Dunn,12/3/2008,M,2
304,Kevin,Middleton,12/3/2008,M,2
301,Stephanie,Singleton,11/26/2008,F,2
370,Timothy,Gallagher,11/26/2008,M,2
111,Sherri,Donovan,11/24/2008,F,2
36,Juan,Wilkerson,11/4/2008,M,2
52,Daniel,Mccann,11/3/2008,M,2
76,James,Solis,11/3/2008,M,2
316,Stephen,Mullins,10/25/2008,M,2
46,David,Blackburn,10/22/2008,M,2
25,Tina,Hoffman,10/21/2008,F,2
462,Dustin,Mahoney,9/27/2008,M,2
130,Ronald,Solomon,9/24/2008,M,2
448,Jonathan,Hull,9/13/2008,M,2
360,Jeffrey,Oconnor,9/10/2008,M,2
433,Casey,Oneill,9/6/2008,F,2
312,Daniel,Compton,8/22/2008,M,2
80,David,Conrad,8/15/2008,M,2
290,Donald,Parsons,8/5/2008,M,2
330,Sean,Schmitt,8/2/2008,M,2
348,Douglas,Mccullough,7/19/2008,M,2
262,Shawn,Hebert,6/23/2008,M,2
32,Nicholas,Nicholson,6/22/2008,M,2
181,Monica,Kline,6/17/2008,F,2
168,Michael,Andrews,6/13/2008,M,2
357,Tonya,Maldonado,6/2/2008,F,2
180,John,Austin,5/28/2008,M,2
442,William,Collins,5/22/2008,M,2
96,James,Guerrero,5/9/2008,M,2
332,Derek,Reed,5/7/2008,M,2
117,Elizabeth,Carroll,5/2/2008,F,2
491,Connie,Perry,4/23/2008,F,2
123,Paula,Kelly,4/13/2008,F,2
306,Cameron,Sawyer,3/25/2008,M,2
197,Krista,Leach,3/22/2008,F,2
75,Mary,Solis,3/20/2008,F,2
35,Jamie,Benitez,3/18/2008,F,2
268,William,Pineda,3/14/2008,M,2
192,Donald,Mcmahon,3/11/2008,M,2
182,Michael,Pollard,3/8/2008,M,2
95,Amy,Arroyo,2/11/2008,F,2
498,Christopher,Villegas,2/5/2008,M,2
346,Sean,Knox,1/9/2008,M,2
379,Emily,Francis,1/4/2008,F,2
359,Ashley,Oconnor,1/1/2008,F,2
207,Jennifer,Nielsen,12/28/2007,F,3
378,Gary,Morales,12/24/2007,M,3
